124	202.8	12.5	8.6903	1.6292	0.65088
125	106.9	9.6	7.1693	1.0125	1
126	246.4	10	7.3641	0.1	0.43115
127	238.9	12.1	8.465	0.1	0.48269
128	270.3	13.2	9.0973	0.1	0.32362
129	262.6	16.2	11.0375	0.1	0.376
130	259.6	13.2	9.0973	0.94583	0.40252
131	257.8	14.2	9.7078	0.97917	0.4222
132	185.3	13	8.9794	1.4667	0.81232
133	243.9	12.2	8.5208	1.0208	0.51402
134	240.5	16.8	11.4663	1.1083	0.54045
135	80.5	14.3	9.7708	2.0333	1
136	101	14.6	9.9619	1.2042	1
137	129.2	16	10.8977	0.89167	1
138	225.9	17.4	11.9096	0.525	0.64664
139	30.2	8.9	6.8394	1.7667	1
140	49.3	8.2	6.5228	1.4292	1
141	237.4	12.6	8.7475	0.61667	0.61002
142	80.8	12.3	8.577	0.7375	1
143	125.9	12.2	8.5208	0.69583	1
144	204.2	13.4	9.2167	0.1625	0.79215
145	82.4	13.2	9.0973	0.27917	1
146	111.8	12.3	8.577	0.17083	1
147	145.4	8.8	6.7933	0.77917	1
148	269.2	9.4	7.0737	0.6375	0.49942
149	193.2	10	7.3641	0.49167	0.86944
150	207.1	11.1	7.9239	1.3583	0.80725
151	122.4	12.4	8.6335	1.6417	1
152	267.3	14.1	9.6452	1.0208	0.53036
153	100.9	18.4	12.682	0.1	1
154	170.8	13.9	9.521	1.8292	0.99389
155	134.8	12.8	8.8627	1.9875	1
156	113.8	9.8	7.2661	0.7125	1
157	158	11	7.8715	1.0792	1
158	92.4	14.6	9.9619	1.3042	1
159	152.7	15.6	10.6228	1.0167	1
160	127.6	9.4	7.0737	1.3458	1
161	152.6	10.8	7.7677	1.0792	1
162	251.1	13.1	9.0382	0.30417	0.64379
163	250.1	13.8	9.4594	0.43333	0.65093
164	72.7	13.1	9.0382	0.55833	1
165	218.4	16.3	11.1079	0.80833	0.80055
166	179.1	13	8.9794	1.2167	0.98193
167	151.8	10	7.3641	1.225	1
168	168.7	9.8	7.2661	0.9625	1
169	86.7	13.4	9.2167	1.1958	1
170	105.1	16	10.8977	1.875	1
171	277	13.7	9.3982	0.825	0.54175
172	173	17.9	12.2905	1.0583	1
173	156.6	17.4	11.9096	3.0042	1
174	267.8	13.5	9.2768	2.1792	0.58537
175	306.3	13.9	9.521	0.35417	0.41078
176	301.8	20	14.009	1.5875	0.43118
177	262.8	21.3	15.175	0.24583	0.60797
178	225.5	20.8	14.7169	0.070833	0.77692
179	273.5	23.1	16.9292	0.32917	0.55827
180	178.2	23	16.8273	1.0667	0.99062
181	260.8	15.9	10.8284	0.42917	0.61406
182	279	16.2	11.0375	0.17917	0.52991
183	304	18.8	13.003	0.36667	0.41439
184	288.8	21.6	15.4559	0.1	0.48184
185	277.3	23.3	17.1346	0.1	0.53234
186	121.8	17.7	12.1369	0.1	1
187	268.3	17.4	11.9096	0.1	0.56895
188	247.7	17	11.6124	0.1	0.66099
189	170.1	16.4	11.1788	0.1	1
190	259.5	18.1	12.4458	0.1	0.60112
191	268.2	18.6	12.8416	0.1	0.55773
192	287.9	20.8	14.7169	0.1	0.46294
193	268.3	22.5	16.3258	0.7375	0.55009
194	275.7	23.8	17.6577	0.82917	0.51167
195	265.5	23.7	17.552	0.87083	0.55509
196	193	23	16.8273	0.16667	0.89072
197	225.2	20.1	14.0958	0.10417	0.73576
198	220.9	19	13.1661	0.24167	0.7519
199	234.6	18.6	12.8416	0.40833	0.6827
200	282	18.4	12.682	1.2833	0.45253
201	279.5	19.5	13.5818	0.56667	0.45862
202	274	21.9	15.7412	0.25417	0.47894
203	251.4	22.8	16.6251	0.38333	0.58156
204	243.2	24	17.8708	0.81667	0.61525
205	238.3	25	18.9704	0.7625	0.63303
206	242.1	25.7	19.7748	0.3875	0.60832
207	231.7	26.6	20.8525	0.14167	0.65286
208	238.2	25	18.9704	0.05	0.61435
209	233.5	26.5	20.7303	0.6125	0.63079
210	226.2	25.3	19.3116	0.21667	0.66018
211	200.9	25.8	19.8921	0.89583	0.77994
212	222	25.3	19.3116	0.39583	0.66706
213	225.3	27.3	21.7258	0.55833	0.64295
214	176.2	21.9	15.7412	0.62083	0.88568
215	240.9	21.2	15.0824	0.2	0.54717
216	230.9	23	16.8273	0.12917	0.59009
217	240.1	28	22.6308	0.96667	0.53356
218	179.2	20.9	14.8075	0.15	0.8431
219	192.8	19.5	13.5818	0.091667	0.76406
220	221.6	19.9	13.9226	0.083333	0.60309
221	205.6	18.8	13.003	0.15	0.67922
222	195.1	21.6	15.4559	0.44167	0.72671
223	47.7	18.4	12.682	0.50417	1
224	69.9	19.2	13.331	0.56667	1
225	72.3	14.8	10.0911	1.9667	1
226	152.9	12.3	8.577	2.4333	0.92413
227	70.2	15.3	10.4206	1.75	1
228	110.1	13	8.9794	0.066667	1
229	189.4	16.8	11.4663	0.99583	0.69131
230	139.8	12.9	8.9209	1.7125	0.96611
231	66.4	16	10.8977	1.4	1
232	90.4	14.3	9.7708	0.88333	1
233	111.7	13.7	9.3982	0.016667	1
234	186.3	15	10.2218	0.054167	0.65427
235	210.9	18	12.3679	0.77083	0.49416
236	77.2	15.3	10.4206	0.39167	1
237	45.6	16	10.8977	0.25417	1
238	110.7	16.2	11.0375	0.2375	1
239	124.6	17.6	12.0607	1.5333	0.97907
240	100.7	13.4	9.2167	1.225	1
241	133	14.4	9.8341	2.4	0.90622
242	134.3	12.9	8.9209	0.55417	0.88734
243	189.9	15.5	10.555	0.50417	0.51212
244	34.5	15.6	10.6228	1.0958	1
245	82.2	16.3	11.1079	0.18333	1
246	106.3	14.8	10.0911	1.4208	1
247	102.3	17.3	11.8347	1.7583	1
248	69.5	14.9	10.1563	1.7375	1
249	124.7	13.4	9.2167	0.73333	0.87309
250	64.9	12.4	8.6335	0.14167	1
251	28.9	14.1	9.6452	0.20833	1
252	106.2	13.1	9.0382	2.55	0.97107
253	84.5	12.4	8.6335	1.8833	1
254	133.1	11.8	8.2993	1.9667	0.74668
255	77.3	15.4	10.4876	1.575	1
256	153.8	13.1	9.0382	1.6167	0.55792
257	131	15.3	10.4206	1.15	0.71839
258	36.7	13.2	9.0973	2.8417	1
259	38.4	11.1	7.9239	4.0792	1
260	19.2	10.5	7.6141	2.9125	1
261	56.4	11.3	8.0296	0.9625	1
262	39.3	10.8	7.7677	0.85417	1
263	136.5	11.1	7.9239	0.60833	0.5728
264	49.4	12.7	8.8049	0.5625	1
265	44.2	12.3	8.577	0.0083333	1
266	139.5	11.6	8.1905	0.016667	0.48851
267	134.6	14.1	9.6452	0.56667	0.51218
268	43.7	13.8	9.4594	0.058333	1
269	46.8	12.8	8.8627	0.43333	1
270	60.2	13	8.9794	1.4667	1
271	115.4	9.9	7.315	1.4	0.61203
272	36.2	13.2	9.0973	2.2458	1
273	44.4	11.9	8.3542	1.2708	1
274	103.1	8	6.4348	1.1042	0.67612
275	101.1	9.9	7.315	0.67083	0.67761
276	15.3	9.5	7.1214	1.7333	1
277	94.7	4.7	5.1257	1.4375	0.70686
278	72.5	3.4	4.6784	1.0083	0.92878
279	117.8	3.8	4.8122	0.60833	0.41295
280	90.5	3.3	4.6455	0.99167	0.69536
281	14.4	4.3	4.9842	0.054167	1
282	105.4	4	4.8804	0.22083	0.48148
283	85.9	3.9	4.8462	0.125	0.68915
284	53	5.3	5.3446	0.2	1
285	46.3	7.9	6.3912	0.11667	1
286	23.5	10	7.3641	0.22917	1
287	75.6	7	6.0101	0.32083	0.7365
288	89.1	9.6	7.1693	0.25417	0.54013
289	43	7.2	6.093	0.67917	1
290	98.3	1.6	4.1161	0.61667	0.36655
291	86.6	0.3	3.7479	0.016667	0.5009
292	80.2	3.8	4.8122	1.7625	0.56613
293	81.9	5.4	5.3819	2.35	0.51756
294	83.4	6.6	5.8473	2.2333	0.4703
295	61.2	8.4	6.6119	2.0292	0.77737
296	43.1	10	7.3641	1.8625	1
297	76.5	9.9	7.315	1.4375	0.49736
298	66.1	7.8	6.3478	0.96667	0.63736
299	49	7.1	6.0514	1.6917	0.89296
300	48.2	8	6.4348	2.1	0.88835
301	49.5	5.8	5.5332	1.8042	0.84815
302	61.2	6.3	5.7277	1.6	0.62595
303	18.1	9.6	7.1693	1.6583	1
304	14.6	12.2	8.5208	2.85	1
305	39.8	9.7	7.2176	3.925	0.94908
306	58	4.6	5.09	1.625	0.58795
307	71.6	4.5	5.0545	1.0583	0.30044
308	60.4	6.6	5.8473	2.0417	0.49056
309	52.9	9.6	7.1693	1.8583	0.61499
310	53.7	7.5	6.2193	0.57083	0.57439
311	7.7	8.4	6.6119	0.016667	1
312	7.1	6.4	5.7673	0.45833	1
313	11.3	5.5	5.4194	0.25417	1
314	16.9	5.4	5.3819	0.775	1
